FragmentLength	Frequency	NormalizedFrequency
24	1.3434701388555048e-05	0.0006501713754272167
25	6.325502259467238e-05	0.003061222118274497
26	9.204164703232564e-05	0.004454348668930845
27	0.0001174473352555	0.005683855062709568
28	0.0001356383585778	0.006564208284699599
29	0.0001627816093273	0.007877803887829436
30	0.0001792476476921	0.008674676590977086
31	0.0001886812529747	0.009131215217659966
32	0.0002134750710675	0.010331110201944523
33	0.0002279488511405	0.011031567713096215
34	0.0002497502083785	0.01208664277666896
35	0.0014776522150791	0.07151086915109928
36	0.0014743897652787	0.07135298313542682
37	0.0014850155239734	0.07186721593790474
38	0.0015043343835954	0.07280215071381434
39	0.0015441531079519	0.07472917492029782
40	0.0016257247866287	0.078676830248639
41	0.0017104079842819	0.08277506730664017
42	0.0017611524709314	0.08523084296744939
43	0.0017083165347099	0.08267385176000938
44	0.001663934725611	0.08052599740647964
45	0.0016799416827193	0.08130065290633123
46	0.0017383063179323	0.08412520509065226
47	0.0018419469130352	0.08914088398959318
48	0.0019667431215664	0.0951803872284187
49	0.0021005112814394	0.10165408738576552
50	0.0022367662267359	0.10824813533890082
51	0.0023643668042996	0.11442335580867423
52	0.0024951053423194	0.12075043764155291
53	0.0025613305291699	0.1239554006382887
54	0.0025040281268017	0.12118225513356205
55	0.0024387070956262	0.11802104868353416
56	0.0024094791128698	0.1166065626298374
57	0.002391443308179	0.11573372120198523
58	0.0023771527604133	0.11504213120473016
59	0.0023517913795342	0.11381476906157562
60	0.0023197031433209	0.1122618612543647
61	0.0022587755426377	0.10931327454655572
62	0.0021985854448446	0.1064003792363126
63	0.0021164779331572	0.10242679230923875
64	0.0020072358892621	0.09714003171221766
65	0.0019105544057332	0.09246113850080036
66	0.0018587259613475	0.08995290478589173
67	0.0018383688806026	0.0889677253758849
68	0.0018269437316628	0.08841480614189444
69	0.0018190244370626	0.08803155246816471
70	0.0017993671265019	0.0870802383842255
71	0.0018019049368347	0.08720305552670815
72	0.0018425553529196	0.0891703293925883
73	0.0018783176684534	0.0909010439955106
74	0.0018156465023134	0.08786807756697625
75	0.0017111594940099	0.08281143656408543
76	0.0016421776757171	0.07947306659353234
77	0.0015993822124665	0.0774019833294569
78	0.0016039558738008	0.07762332532988225
79	0.0016426975009131	0.0794982234952669
80	0.0016842059072789	0.08150701973703783
81	0.0017343300911099	0.08393277588903765
82	0.0018517002458304	0.08961289580549082
83	0.0020275296533829	0.09812214691890593
